"iso3c","year","access","emissions_percap"
"EAS",2000,92.26,1.34
"EAS",2001,92.75,1.39
"EAS",2002,93.23,1.49
"EAS",2003,93.42,1.66
"EAS",2004,94.24,1.76
"EAS",2005,93.86,1.85
"EAS",2006,94.87,2
"EAS",2007,94.93,2.16
"EAS",2008,95.36,2.18
"EAS",2009,95.17,2.26
"EAS",2010,95.55,2.47
"EAS",2011,96.15,2.72
"EAS",2012,96.4,2.78
"EAS",2013,96.61,2.9
"EAS",2014,96.74,2.85
"EAS",2015,97.1,2.8
"EAS",2016,97.21,2.85
"EAS",2017,97.85,2.98
"EAS",2018,97.87,3.13
"EAS",2019,98.06,3.21
"ECS",2000,99.95,3.47
"ECS",2001,99.95,3.49
"ECS",2002,99.96,3.52
"ECS",2003,99.97,3.64
"ECS",2004,99.96,3.6
"ECS",2005,99.95,3.61
"ECS",2006,99.95,3.72
"ECS",2007,99.95,3.7
"ECS",2008,99.96,3.6
"ECS",2009,99.96,3.31
"ECS",2010,99.97,3.44
"ECS",2011,99.97,3.5
"ECS",2012,99.98,3.48
"ECS",2013,99.98,3.33
"ECS",2014,99.98,3.09
"ECS",2015,99.26,3.02
"ECS",2016,99.97,2.95
"ECS",2017,99.99,2.93
"ECS",2018,99.99,2.89
"ECS",2019,99.99,2.74
"LCN",2000,91.73,0.77
"LCN",2001,92.34,0.78
"LCN",2002,92.65,0.77
"LCN",2003,92.74,0.8
"LCN",2004,93.23,0.82
"LCN",2005,93.55,0.84
"LCN",2006,94.27,0.84
"LCN",2007,94.5,0.85
"LCN",2008,95.23,0.87
"LCN",2009,95.38,0.87
"LCN",2010,95.85,0.89
"LCN",2011,96.18,0.9
"LCN",2012,96.56,0.95
"LCN",2013,96.84,0.97
"LCN",2014,97.03,0.98
"LCN",2015,97.29,0.99
"LCN",2016,97.49,0.94
"LCN",2017,97.73,0.9
"LCN",2018,97.8,0.85
"LCN",2019,98.09,0.83
"MEA",2000,92.45,1.6
"MEA",2001,92.66,1.69
"MEA",2002,92.59,1.74
"MEA",2003,93.42,1.79
"MEA",2004,93.33,1.88
"MEA",2005,93.98,1.95
"MEA",2006,95.86,2.01
"MEA",2007,94.16,1.99
"MEA",2008,94.74,2.12
"MEA",2009,94.84,2.12
"MEA",2010,95.66,2.18
"MEA",2011,95.71,2.2
"MEA",2012,95.27,2.32
"MEA",2013,97.02,2.31
"MEA",2014,96.01,2.35
"MEA",2015,96.45,2.35
"MEA",2016,96.76,2.32
"MEA",2017,97.63,2.37
"MEA",2018,96.16,2.3
"MEA",2019,97.13,2.31
"NAC",2000,100,9.6
"NAC",2001,100,9.56
"NAC",2002,100,9.05
"NAC",2003,100,9.09
"NAC",2004,100,9.07
"NAC",2005,100,9.2
"NAC",2006,100,8.9
"NAC",2007,100,9.07
"NAC",2008,100,8.73
"NAC",2009,100,7.94
"NAC",2010,100,8.24
"NAC",2011,100,7.83
"NAC",2012,100,7.4
"NAC",2013,100,7.41
"NAC",2014,100,7.36
"NAC",2015,100,6.9
"NAC",2016,100,6.59
"NAC",2017,100,6.32
"NAC",2018,100,6.36
"NAC",2019,100,5.95
"SAS",2000,56.38,0.38
"SAS",2001,54.36,0.39
"SAS",2002,59.98,0.39
"SAS",2003,61.58,0.39
"SAS",2004,61.9,0.42
"SAS",2005,64.88,0.43
"SAS",2006,65.91,0.45
"SAS",2007,68.06,0.49
"SAS",2008,70.35,0.49
"SAS",2009,72.37,0.53
"SAS",2010,73.19,0.54
"SAS",2011,67.1,0.56
"SAS",2012,77.44,0.63
"SAS",2013,78.66,0.63
"SAS",2014,80.69,0.69
"SAS",2015,84.54,0.67
"SAS",2016,86.23,0.67
"SAS",2017,89.33,0.7
"SAS",2018,92.66,0.74
"SAS",2019,94,0.72
"SSF",2000,25.64,0.34
"SSF",2001,26.11,0.39
"SSF",2002,27.31,0.38
"SSF",2003,29.54,0.39
"SSF",2004,29.37,0.4
"SSF",2005,29.3,0.39
"SSF",2006,30.81,0.38
"SSF",2007,32.43,0.39
"SSF",2008,32.32,0.41
"SSF",2009,32.49,0.35
"SSF",2010,33.28,0.4
"SSF",2011,35.82,0.38
"SSF",2012,36.73,0.38
"SSF",2013,37.86,0.38
"SSF",2014,38.21,0.39
"SSF",2015,39.01,0.36
"SSF",2016,43.68,0.36
"SSF",2017,43.64,0.35
"SSF",2018,46.27,0.34
"SSF",2019,46.98,0.34
"WLD",2000,78.18,1.72
"WLD",2001,77.83,1.74
"WLD",2002,79.28,1.75
"WLD",2003,79.87,1.83
"WLD",2004,80.08,1.86
"WLD",2005,80.57,1.9
"WLD",2006,81.28,1.95
"WLD",2007,81.77,2.01
"WLD",2008,82.4,1.99
"WLD",2009,82.77,1.93
"WLD",2010,83.14,2.04
"WLD",2011,82.07,2.1
"WLD",2012,84.64,2.12
"WLD",2013,85.14,2.13
"WLD",2014,85.55,2.1
"WLD",2015,86.53,2.03
"WLD",2016,87.61,2.01
"WLD",2017,88.5,2.03
"WLD",2018,89.48,2.07
"WLD",2019,89.93,2.05
