"iso3c","date","pop_without_urb","pop_without_rur"
"EAS",2000,11981243,140784744
"EAS",2001,12814741,135576568
"EAS",2002,12754132,127465826
"EAS",2003,10329787,126974891
"EAS",2004,12616233,108627425
"EAS",2005,12405292,117700444
"EAS",2006,11714721,97927716
"EAS",2007,9842857,98735588
"EAS",2008,9376171,91086079
"EAS",2009,18599657,87018013
"EAS",2010,17321615,80708052
"EAS",2011,16758265,68732625
"EAS",2012,16615841,63841167
"EAS",2013,15970676,60481843
"EAS",2014,15528292,58565964
"EAS",2015,14534575,51729192
"EAS",2016,13733564,50650041
"EAS",2017,13313641,36537311
"EAS",2018,12814577,36851721
"EAS",2019,12413134,33216943
"EAS",2020,12397321,34453122
"LCN",2000,6191820,36933044
"LCN",2001,7320732,33163877
"LCN",2002,6877315,32537264
"LCN",2003,7541356,31883842
"LCN",2004,6558450,30686758
"LCN",2005,6550515,29333679
"LCN",2006,5715003,26576511
"LCN",2007,5375396,25991791
"LCN",2008,4375300,23116820
"LCN",2009,4473568,22436942
"LCN",2010,3783017,20632259
"LCN",2011,3471706,19252219
"LCN",2012,3143689,17534733
"LCN",2013,2858202,16316755
"LCN",2014,2957294,15289784
"LCN",2015,3142687,13694998
"LCN",2016,2644135,8425542
"LCN",2017,2411009,11968726
"LCN",2018,2482779,11571735
"LCN",2019,2065728,10246980
"LCN",2020,1745440,7903538
"MEA",2000,1358375,22901152
"MEA",2001,2321071,21731448
"MEA",2002,2340993,22414986
"MEA",2003,2250351,20146227
"MEA",2004,2208820,20950963
"MEA",2005,2265806,19061016
"MEA",2006,1239594,13790625
"MEA",2007,2234165,19438384
"MEA",2008,1774498,18215433
"MEA",2009,1891135,18186979
"MEA",2010,1179962,16097480
"MEA",2011,1027066,16399515
"MEA",2012,1223132,17215789
"MEA",2013,804478,10498354
"MEA",2014,1746912,14053954
"MEA",2015,1563167,12516842
"MEA",2016,1187911,11657575
"MEA",2017,808228,7774225
"MEA",2018,473234,4093418
"MEA",2019,1117508,10497806
"MEA",2020,1116890,10203091
"RESTOFWORLD",2000,69080,368062
"RESTOFWORLD",2001,67392,317154
"RESTOFWORLD",2002,58052,203329
"RESTOFWORLD",2003,64907,182519
"RESTOFWORLD",2004,325916,250871
"RESTOFWORLD",2005,367046,239113
"RESTOFWORLD",2006,378502,294945
"RESTOFWORLD",2007,308079,215939
"RESTOFWORLD",2008,254403,200324
"RESTOFWORLD",2009,201190,157337
"RESTOFWORLD",2010,41563,155393
"RESTOFWORLD",2011,48344,222795
"RESTOFWORLD",2012,40222,90081
"RESTOFWORLD",2013,50094,130032
"RESTOFWORLD",2014,31673,87162
"RESTOFWORLD",2015,5295187,185766
"RESTOFWORLD",2016,84161,61969
"RESTOFWORLD",2017,23452,48393
"RESTOFWORLD",2018,28729,45128
"RESTOFWORLD",2019,36601,15832
"RESTOFWORLD",2020,48106,0
"SAS",2000,43993918,560105600
"SAS",2001,49786799,595907686
"SAS",2002,43804757,531660274
"SAS",2003,42961708,519651871
"SAS",2004,43358775,534014771
"SAS",2005,40521128,500763025
"SAS",2006,37064794,496676274
"SAS",2007,37716454,469804557
"SAS",2008,34491678,443578739
"SAS",2009,24240507,427879597
"SAS",2010,31015523,414094418
"SAS",2011,35636657,518565688
"SAS",2012,22501483,362843127
"SAS",2013,23114404,346260108
"SAS",2014,18864444,319697884
"SAS",2015,16102599,258290783
"SAS",2016,12357797,235121049
"SAS",2017,6497565,187551319
"SAS",2018,6704838,128457594
"SAS",2019,2720868,108176920
"SAS",2020,1807120,78315862
"SSF",2000,80823557,405764869
"SSF",2001,83830977,403713755
"SSF",2002,84513127,406777430
"SSF",2003,85569125,418083061
"SSF",2004,88031450,432777763
"SSF",2005,89309943,442238318
"SSF",2006,91277976,443201621
"SSF",2007,89517402,453850732
"SSF",2008,96906159,457239396
"SSF",2009,97490071,458465530
"SSF",2010,100362598,467342938
"SSF",2011,91612478,466586644
"SSF",2012,95134852,470859471
"SSF",2013,98606101,474281735
"SSF",2014,103142743,489140325
"SSF",2015,108231887,504024886
"SSF",2016,101975099,469864829
"SSF",2017,113179994,482967830
"SSF",2018,115616227,476975866
"SSF",2019,110777240,471837834
"SSF",2020,103727335,483108208
