"iso3c","year","source","generation"
"ABW",2000,"oil",776.59
"ABW",2001,"oil",808.33
"ABW",2002,"oil",824.65
"ABW",2003,"oil",841.84
"ABW",2004,"oil",865.75
"ABW",2005,"oil",910.47
"ABW",2006,"oil",909.51
"ABW",2007,"oil",935.98
"ABW",2008,"oil",913.61
"ABW",2009,"oil",907.68
"ABW",2009,"wind",16.64
"ABW",2010,"oil",833.99
"ABW",2010,"solar",0.09
"ABW",2010,"wind",106.16
"ABW",2011,"oil",817.89
"ABW",2011,"solar",0.35
"ABW",2011,"wind",112.24
"ABW",2012,"oil",779.12
"ABW",2012,"solar",1.14
"ABW",2012,"wind",134.2
"ABW",2013,"oil",776.8
"ABW",2013,"solar",2.28
"ABW",2013,"wind",148.99
"ABW",2014,"oil",755.26
"ABW",2014,"solar",5.71
"ABW",2014,"wind",155.61
"ABW",2015,"oil",755.55
"ABW",2015,"solar",9.66
"ABW",2015,"wind",166.42
"ABW",2016,"oil",802.11
"ABW",2016,"otherrenewable",4.8
"ABW",2016,"solar",10.71
"ABW",2016,"wind",134.18
"ABW",2017,"oil",834.23
"ABW",2017,"solar",10.71
"ABW",2017,"wind",133.05
"ABW",2018,"oil",827.09
"ABW",2018,"solar",10.71
"ABW",2018,"wind",136.39
"ABW",2019,"oil",810.76
"ABW",2019,"solar",10.71
"ABW",2019,"wind",136.39
"ABW",2020,"oil",826.52
"ABW",2020,"solar",10.71
"ABW",2020,"wind",136.39
"AFG",2000,"hydro",457.94
"AFG",2000,"oil",31.64
"AFG",2001,"hydro",457.94
"AFG",2001,"oil",31.64
"AFG",2002,"hydro",457.95
"AFG",2002,"oil",31.64
"AFG",2003,"hydro",458.33
"AFG",2003,"oil",110.1
"AFG",2004,"hydro",458.65
"AFG",2004,"oil",270.93
"AFG",2005,"hydro",461.59
"AFG",2005,"oil",270.93
"AFG",2006,"hydro",659.96
"AFG",2006,"oil",270.93
"AFG",2007,"hydro",691.79
"AFG",2007,"oil",310.36
"AFG",2008,"hydro",591.89
"AFG",2008,"oil",295.08
"AFG",2009,"hydro",753.83
"AFG",2009,"oil",192.6
"AFG",2009,"solar",0
"AFG",2010,"hydro",803.14
"AFG",2010,"oil",179.3
"AFG",2010,"solar",0.18
"AFG",2011,"hydro",682.35
"AFG",2011,"oil",234.85
"AFG",2011,"solar",0.21
"AFG",2012,"hydro",736.15
"AFG",2012,"oil",193.58
"AFG",2012,"solar",28.37
"AFG",2012,"wind",0.12
"AFG",2013,"hydro",854.83
"AFG",2013,"oil",207.38
"AFG",2013,"solar",29.64
"AFG",2013,"wind",0.12
"AFG",2014,"hydro",967.69
"AFG",2014,"oil",170.14
"AFG",2014,"solar",32.32
"AFG",2014,"wind",0.12
"AFG",2015,"hydro",1000.57
"AFG",2015,"oil",146.66
"AFG",2015,"solar",33.32
"AFG",2015,"wind",0.12
"AFG",2016,"hydro",1024.91
"AFG",2016,"oil",148.32
"AFG",2016,"solar",38.49
"AFG",2016,"wind",0.12
"AFG",2017,"hydro",1048.7
"AFG",2017,"oil",163.62
"AFG",2017,"solar",38.03
"AFG",2017,"wind",0.12
"AFG",2018,"hydro",927.65
"AFG",2018,"oil",186.76
"AFG",2018,"solar",37.21
"AFG",2018,"wind",0.12
"AFG",2019,"hydro",1142.88
"AFG",2019,"oil",180.77
"AFG",2019,"solar",49.71
"AFG",2019,"wind",0.12
"AFG",2020,"hydro",1052.61
"AFG",2020,"oil",132.89
"AFG",2020,"solar",62.66
"AFG",2020,"wind",0.12
"AGO",2000,"gas",180
"AGO",2000,"hydro",900.29
"AGO",2000,"oil",540.61
"AGO",2001,"gas",180
"AGO",2001,"hydro",1010.27
"AGO",2001,"oil",652.21
"AGO",2001,"solar",0.05
"AGO",2002,"gas",180
"AGO",2002,"hydro",1130.26
"AGO",2002,"oil",652.21
"AGO",2002,"solar",0.27
"AGO",2003,"gas",180
"AGO",2003,"hydro",1230.58
"AGO",2003,"oil",752.21
"AGO",2003,"solar",0.35
"AGO",2004,"gas",180
"AGO",2004,"hydro",1730.34
"AGO",2004,"oil",559.46
"AGO",2004,"solar",0.59
"AGO",2005,"gas",180
"AGO",2005,"hydro",2200.3
"AGO",2005,"oil",559.46
"AGO",2005,"solar",0.87
"AGO",2006,"gas",180
"AGO",2006,"hydro",2540.27
"AGO",2006,"oil",663.14
"AGO",2006,"solar",1.13
"AGO",2007,"gas",180
"AGO",2007,"hydro",2880.21
"AGO",2007,"oil",763.14
"AGO",2007,"solar",3.78
"AGO",2008,"gas",180
"AGO",2008,"hydro",3182.13
"AGO",2008,"oil",974.51
"AGO",2008,"solar",6.81
"AGO",2009,"gas",180
"AGO",2009,"hydro",3335.6
"AGO",2009,"oil",1670.76
"AGO",2009,"solar",7.53
"AGO",2010,"gas",180
"AGO",2010,"hydro",3685.59
"AGO",2010,"oil",1900.52
"AGO",2010,"solar",10.08
"AGO",2011,"gas",180
"AGO",2011,"hydro",4042.92
"AGO",2011,"oil",1879.53
"AGO",2011,"solar",10.96
"AGO",2012,"gas",180
"AGO",2012,"hydro",3839.83
"AGO",2012,"oil",2924.5
"AGO",2012,"solar",13.64
"AGO",2013,"gas",180
"AGO",2013,"hydro",3638.55
"AGO",2013,"oil",5643.75
"AGO",2013,"solar",15.34
"AGO",2014,"bioenergy",36
"AGO",2014,"gas",180
"AGO",2014,"hydro",5039.93
"AGO",2014,"oil",6008.88
"AGO",2014,"solar",16.99
"AGO",2015,"bioenergy",42
"AGO",2015,"gas",180
"AGO",2015,"hydro",5039.93
"AGO",2015,"oil",6185.25
"AGO",2015,"solar",18.27
"AGO",2016,"bioenergy",155
"AGO",2016,"gas",85.34
"AGO",2016,"hydro",6286.13
